transaction_type;tradingsymbol;quantity;average_price;order_id;trade id;orderTimestamp;fill_timestamp;exchange;ref_symbol;ref_rate;exchange_order_id;asset_type;trade_contra_id;strategy
BUY;NIFTY20MARFUT;75;9974.1;200313004625381;91921;2020-03-13 13:21;2020-03-13 13:21;NFO;NIFTY;10106;200313004625381;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY203198800PE;75;242.45;200317005082750;92213;2020-03-17 15:28;2020-03-17 15:28;NFO;NIFTY;8939;200317005082750;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20MAR8100PE;75;408.25;200319006011313;92375;2020-03-19 15:25;2020-03-19 15:25;NFO;NIFTY;8267;200319006011313;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20MAR8500CE;75;474.85;200320001785989;92412;2020-03-20 10:43;2020-03-20 12:10;NFO;NIFTY;8661;200320001785989;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20MAR7500CE;75;398.85;200323005460942;92504;2020-03-23 15:26;2020-03-23 15:26;NFO;NIFTY;7636;200323005460942;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20MAR7600PE;75;382.9;200324001018857;92566;2020-03-24 10:00;2020-03-24 10:06;NFO;NIFTY;7606;200324001018857;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20APR7400PE;75;454.85;200325005540595;92591;2020-03-25 15:28;2020-03-25 15:28;NFO;NIFTY;8300;200325005540595;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20MARFUT;75;8676.3;200325005665817;92605;2020-03-26 10:41;2020-03-26 10:41;NFO;NIFTY;8627;200325005665817;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20APR9000CE;75;492;200326006129696;92621;2020-03-26 14:29;2020-03-26 14:31;NFO;NIFTY;8611;200326006129696;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20APR8600CE;75;707.9;200326006962483;92624;2020-03-26 15:21;2020-03-26 15:21;NFO;NIFTY;8642;200326006962483;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY20MAR7500CE;75;1133;200326006972353;92625;2020-03-26 15:22;2020-03-26 15:22;NFO;NIFTY;8642;200326006972353;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20MAYFUT;75;8725;200326007072386;92627;2020-03-26 15:28;2020-03-26 15:28;NFO;NIFTY;9262;200326007072386;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20MARFUT;75;8640.25;200326007085341;92628;2020-03-26 15:29;2020-03-26 15:29;NFO;NIFTY;9262;200326007085341;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY20MAYFUT;75;8979.55;200327001526378;92653;2020-03-27 10:02;2020-03-27 10:02;NFO;NIFTY;8928;200327001526378;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY204018800PE;75;388.1;200327001918304;92756;2020-03-27 10:15;2020-03-27 10:15;NFO;NIFTY;8896;200327001918304;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY20MAYFUT;75;8422.8;200329000000430;92932;2020-03-30 13:26;2020-03-30 13:26;NFO;NIFTY;8563;200329000000430;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY204018100CE;75;399.95;200330004438274;92933;2020-03-30 14:38;2020-03-30 14:38;NFO;NIFTY;8651;200330004438274;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY204018100CE;75;240.75;200401002032326;93095;2020-04-01 10:41;2020-04-01 10:41;NFO;NIFTY;8343;200401002032326;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY204018800PE;75;528.9;200401002415534;93098;2020-04-01 11:03;2020-04-01 11:03;NFO;NIFTY;8293;200401002415534;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY20APRFUT;75;8239.85;200401002623365;93100;2020-04-01 13:17;2020-04-01 13:17;NFO;NIFTY;8252;200401002623365;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY20APR9000CE;75;214.95;200401005602090;93103;2020-04-01 15:26;2020-04-01 15:26;NFO;NIFTY;8259;200401005602090;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20APR8300CE;75;528.95;200401005604342;93104;2020-04-01 15:26;2020-04-01 15:26;NFO;NIFTY;8259;200401005604342;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY20APR8600CE;75;263.55;200403003573469;93176;2020-04-03 12:59;2020-04-03 12:59;NFO;NIFTY;8121;200403003573469;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20MAY8000CE;75;770.55;200403003575220;93177;2020-04-03 12:59;2020-04-03 12:59;NFO;NIFTY;8121;200403003575220;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20APRFUT;75;8800;200407005433750;93266;2020-04-07 14:35;2020-04-07 14:35;NFO;NIFTY;8718;200407005433750;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY204098700CE;75;327.25;200409004651442;93434;2020-04-09 12:36;2020-04-09 12:36;NFO;NIFTY;9056;200409004651442;NFO;0;SS_NIFTY_FUTOPT
SELL;NIFTY20APR9100PE;75;396;200409006936091;93448;2020-04-09 15:06;2020-04-09 15:06;NFO;NIFTY;9125;200409006936091;NFO;0;SS_NIFTY_FUTOPT
BUY;NIFTY204099000CE;75;109.35;200409007336679;93483;2020-04-09 15:28;2020-04-09 15:28;NFO;NIFTY;9060;200409007336679;NFO;0;SS_NIFTY_FUTOPT
